Conference (long),Conference (short),Main Topic,Subcategori Topic
International Conference for Computational Social Science,IC2S2,Computational Social Science,General
Federated Computing Reseach Conference,FCRC,General,General
Computational Compexity Conference,CCC,Algorithm and Theory,General
International Symposium on Fundamentals of Computation Theory,FCT,Algorithm and Theory,General
Symposium on Foundations of Computer Science,FOCS ,Algorithm and Theory,General
International Symposium on Algorithms and Computation,ISAAC,Algorithm and Theory,General
International Symposium on Mathematical Foundations of Computer Science,MFCS,Algorithm and Theory,General
Symposium on Theoretical Aspects of Computer Science,STACS,Algorithm and Theory,General
Symposium on Theory of Computing,STOC,Algorithm and Theory,General
European Symposium on Algorithms,ESA,Algorithm and Theory,Algorithm
Symposium on Discrete Algorithms,SODA,Algorithm and Theory,Algorithm
Scandinavian Symposium and Workshops on Algorithm Theory,SWAT,Algorithm and Theory,Algorithm
Algorithms and Data Structures Symposium,WADS,Algorithm and Theory,Algorithm
Workshop on Approximation and Online Algorithms,WAOA,Algorithm and Theory,Algorithm
International Symposium on Graph Drawing,GD,Algorithm and Theory,Geometric Algorithms
Symposium on Computational Geometry,SoCG,Algorithm and Theory,Geometric Algorithms
Symposium on Logic in Computer Science,LICS,Algorithm and Theory,Logic
International Conference on Rewriting Techniques and Applications,RTA,Algorithm and Theory,Logic
International Conference on Implementation and Application of Automata,CIAA,Algorithm and Theory,Other Specialized Subtopics
International Workshop on Descriptional Complexity of Formal Systems,DCFS,Algorithm and Theory,Other Specialized Subtopics
International Conference on Developments in Language Theory,DLT,Algorithm and Theory,Other Specialized Subtopics
International Conference on Applications and Theory of Petri Nets and Concurrency,Petri Nets,Algorithm and Theory,Other Specialized Subtopics
International Conference on Reachability Problems,RP,Algorithm and Theory,Other Specialized Subtopics
Symposium on Experimental Algorithms,SEA,Algorithm and Theory,Other Specialized Subtopics
International Conference on Compiler Construction,CC,Languages and Software,Programming Languages
European Conference on Object-Oriented Programming,ECOOP,Languages and Software,Programming Languages
European Symposium on Programming,ESOP,Languages and Software,Programming Languages
History of Programming Languages Conference,HOPL,Languages and Software,Programming Languages
International Conference on Functional Programming,ICFP,Languages and Software,Programming Languages
International Conference on Logic Programming,ICLP,Languages and Software,Programming Languages
International Symposium on Memory Management,ISMM,Languages and Software,Programming Languages
Symposium on Principles of Programming Languages,POPL,Languages and Software,Programming Languages
Conference on Programming Language Design and Implementation,PLDI,Languages and Software,Programming Languages
International Conference on Automated Software Engineering,ASE,Languages and Software,Software Engineering
International Conference on Software Engineering,ICSE,Languages and Software,Software Engineering
International Conference on Software Reuse,ICSR,Languages and Software,Software Engineering
International Conference on Tools and Algorithms for the Construction and Analysis of Systems,TACAS,Languages and Software,Software Engineering
International Conference on Foundations of Software Science and Computation Structures,FoSSaCS,Languages and Software,Software Engineering
International Conference on Fundamental Approaches to Software Engineering,FASE,Languages and Software,Software Engineering
Computer Aided Verification,CAV,Languages and Software,Formel Methods
International Conference on Formal Techniques for Networked and Distributed Systems,FORTE,Languages and Software,Formel Methods
International Conference on Concurrency Theory,CONCUR,"Concurrent, distributed and parallel computing",General
Distributed Event-Based Systems,DEBS,"Concurrent, distributed and parallel computing",General
International Symposium on Distributed Computing,DISC,"Concurrent, distributed and parallel computing",General
International Conference on Distributed Computing Systems,ICDCS,"Concurrent, distributed and parallel computing",General
International Conference on Parallel and Distributed Systems,ICPADS,"Concurrent, distributed and parallel computing",General
International Parallel and Distributed Processing Symposium,IPDPS,"Concurrent, distributed and parallel computing",General
Symposium on Principles of Distributed Computing,PODC,"Concurrent, distributed and parallel computing",General
Symposium on Principles and Practice of Parallel Programming,PPoPP,"Concurrent, distributed and parallel computing",General
International Colloquium on Structural Information and Communication Complexity,SIROCCO,"Concurrent, distributed and parallel computing",General
