Full name,Year,Conference (short),First name,Middle name,Last name,gender,Paper Count,Max Paper Count,First year paper,Age,Conference (long),Main Topic,Productivity
Alex Sandy Pentland,2004,AAAI,Alex,Sandy,Pentland,M,206,425,1982,22,AAAI Conference on Artificial Intelligence,Artificial Intelligence,9.363636363636363
Astro Teller,2004,AAAI,Astro,,Teller,M,8,8,1994,10,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.8
Daniel J. Clancy,2004,AAAI,Daniel,J.,Clancy,M,8,9,1996,8,AAAI Conference on Artificial Intelligence,Artificial Intelligence,1.0
Edward Feigenbaum,2004,AAAI,Edward,,Feigenbaum,M,39,44,1961,43,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.9069767441860463
Ian Lane Davis,2004,AAAI,Ian,Lane,Davis,M,1,3,1995,9,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.1111111111111111
Martha E. Pollack,2004,AAAI,Martha,E.,Pollack,F,59,89,1982,22,AAAI Conference on Artificial Intelligence,Artificial Intelligence,2.6818181818181817
Paul Cohen,2004,AAAI,Paul,,Cohen,M,16,22,1974,30,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.5333333333333333
Peter Norvig,2004,AAAI,Peter,,Norvig,M,17,38,1983,21,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.8095238095238095
Russ B. Altman,2004,AAAI,Russ,B.,Altman,M,83,228,1986,18,AAAI Conference on Artificial Intelligence,Artificial Intelligence,4.611111111111111
Sebastian Thrun,2004,AAAI,Sebastian,,Thrun,M,180,305,1990,14,AAAI Conference on Artificial Intelligence,Artificial Intelligence,12.857142857142858
Tim Finin,2004,AAAI,Tim,,Finin,M,119,317,1977,27,AAAI Conference on Artificial Intelligence,Artificial Intelligence,4.407407407407407
Amy Greenwald,2005,AAAI,Amy,,Greenwald,F,37,91,1999,6,AAAI Conference on Artificial Intelligence,Artificial Intelligence,6.166666666666667
Chitta Baral,2005,AAAI,Chitta,,Baral,F,95,244,1990,15,AAAI Conference on Artificial Intelligence,Artificial Intelligence,6.333333333333333
Dana S. Nau,2005,AAAI,Dana,S.,Nau,F,111,186,1980,25,AAAI Conference on Artificial Intelligence,Artificial Intelligence,4.44
James A. Hendler,2005,AAAI,James,A.,Hendler,M,123,283,1980,25,AAAI Conference on Artificial Intelligence,Artificial Intelligence,4.92
Jay M. Tenenbaum,2005,AAAI,Jay,M.,Tenenbaum,M,37,40,1969,36,AAAI Conference on Artificial Intelligence,Artificial Intelligence,1.0277777777777777
Jeff Hawkins,2005,AAAI,Jeff,,Hawkins,M,1,7,2005,0,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.0
Marti Hearst,2005,AAAI,Marti,,Hearst,F,76,171,1988,17,AAAI Conference on Artificial Intelligence,Artificial Intelligence,4.470588235294118
Martin A. Keane,2005,AAAI,Martin,A.,Keane,M,26,29,1993,12,AAAI Conference on Artificial Intelligence,Artificial Intelligence,2.1666666666666665
Marvin Minsky,2005,AAAI,Marvin,,Minsky,M,28,33,1959,46,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.6086956521739131
Ronald J. Brachman,2005,AAAI,Ronald,J.,Brachman,M,57,63,1977,28,AAAI Conference on Artificial Intelligence,Artificial Intelligence,2.0357142857142856
Sridhar Mahadevan,2005,AAAI,Sridhar,,Mahadevan,M,46,101,1985,20,AAAI Conference on Artificial Intelligence,Artificial Intelligence,2.3
Tuckers Balch,2005,AAAI,Tuckers,,Balch,M,0,0,0,0,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.0
Bruce G. Buchanan,2006,AAAI,Bruce,G.,Buchanan,M,80,88,1971,35,AAAI Conference on Artificial Intelligence,Artificial Intelligence,2.2857142857142856
Dan Roth,2006,AAAI,Dan,,Roth,M,111,431,1992,14,AAAI Conference on Artificial Intelligence,Artificial Intelligence,7.928571428571429
Karen Myers,2006,AAAI,Karen,,Myers,F,39,56,1988,18,AAAI Conference on Artificial Intelligence,Artificial Intelligence,2.1666666666666665
Ken Koedinger,2006,AAAI,Ken,,Koedinger,M,59,291,1990,16,AAAI Conference on Artificial Intelligence,Artificial Intelligence,3.6875
Pedro M. Domingos,2006,AAAI,Pedro,M.,Domingos,M,88,162,1994,12,AAAI Conference on Artificial Intelligence,Artificial Intelligence,7.333333333333333
Tim Berners-Lee,2006,AAAI,Tim,,Berners-Lee,M,17,57,1988,18,AAAI Conference on Artificial Intelligence,Artificial Intelligence,0.9444444444444444
Alan C. Schultz,2007,AAAI,Alan,C.,Schultz,M,72,74,1986,21,AAAI Conference on Artificial Intelligence,Artificial Intelligence,3.4285714285714284
